"Hospital_ID,Hospital_Name,City,Hospital_Type,Beds,Daily_Patients,Avg_Wait_Time_Min,Contactless_Registration,Online_Appointment,Telemedicine,Digital_Health_Records,Cleanliness_Rating,Food_Service_Rating,Patient_Hospitality_Rating,CCTV_Coverage_Percentage,Security_Staff,Infection_Control_Score,Patient_Satisfaction,AI_Assisted_Services,Overall_Trend"
"H00001,Bengaluru Care Hospital 1,Pune,Government,958.0,90.0,120.0,yes,NO,No,No,3.5,4.6,3.6,67.0,101.0,82.0,2.4,No,Unknown"
"H00002,Jaipur Care Hospital 2,Hyderabad,Government,1118.0,1870.0,90.0,yes,YES,No,No,3.5,3.1,3.3,72.0,95.0,75.0,2.4,No,Digital Patient Care"
"H00003,Pune Care Hospital 3,Hyderabad,Multispeciality,310.0,1365.0,115.0,yes,No,No,No,2.5,3.1,3.7,67.0,106.0,83.0,4.1,YES,Unknown"
"H00004,Hyderabad Care Hospital 4,Coimbatore,Private,904.0,1570.0,30.0,Yes,YES,No,No,2.3,2.7,3.2,47.0,137.0,62.0,4.3,No,Digital Patient Care"
"H00005,Pune Care Hospital 5,Bengaluru,Specialty,578.0,571.0,149.0,Yes,No,Yes,Yes,4.3,3.5,3.8,71.0,72.0,86.0,4.5,yes,Digital Patient Care"
"H00006,Chennai Care Hospital 6,Madurai,Private,1458.0,710.0,150.0,Yes,No,No,No,4.9,2.8,2.1,64.0,24.0,51.0,2.0,No,Smart Hospital"
"H00007,Pune Care Hospital 7,Chennai,Specialty,200.0,1738.0,41.0,No,Yes,No,Yes,3.5,4.4,2.1,31.0,139.0,75.0,2.7,yes,Smart Hospital"
"H00008,Mumbai Care Hospital 8,Coimbatore,Specialty,800.8190675017397,775.0,64.0,Yes,YES,No,No,3.5,4.9,3.5,86.0,196.0,62.0,2.8,YES,Enhanced Security"
"H00009,Bengaluru Care Hospital 9,Kochi,Specialty,885.0,1991.0,75.0,YES,YES,Yes,Yes,3.2,3.3,3.5,30.0,74.0,75.0,2.3,No,IoT Healthcare"
"H00010,Delhi Care Hospital 10,Hyderabad,Government,1494.0,170.0,52.0,YES,YES,Yes,No,3.0,2.2,3.9,86.0,118.0,77.0,3.1,No,Patient-Centric Care"
"H00011,Hyderabad Care Hospital 11,Pune,Private,965.0,648.0,51.0,Yes,NO,No,Yes,4.8,4.2,3.5,63.0,179.0,80.0,3.3,YES,Patient-Centric Care"
"H00012,Delhi Care Hospital 12,Hyderabad,Private,554.0,158.0,71.0,yes,No,Yes,Yes,2.5,2.0,4.9,82.0,150.0,79.0,4.9,Yes,Smart Hospital"
"H00013,Bengaluru Care Hospital 13,Pune,Multispeciality,591.0,1802.0,148.0,yes,No,Yes,Yes,2.8,4.0,3.5,33.0,200.0,75.0,3.8,Yes,AI Healthcare"
"H00014,Kochi Care Hospital 14,Chennai,Government,800.8190675017397,1350.0,74.0,Yes,Yes,Yes,Yes,2.1,3.8,3.9,75.0,162.0,81.0,4.9,yes,Digital Patient Care"
"H00015,Pune Care Hospital 15,Jaipur,Multispeciality,131.0,769.0,140.0,YES,YES,Yes,Yes,2.4,2.9,4.6,56.0,129.0,94.0,3.5,Yes,Unknown"
"H00016,Madurai Care Hospital 16,Mumbai,Private,937.0,1204.0,62.0,Yes,NO,Yes,No,3.5,3.1,3.5,67.0,116.0,68.0,4.8,YES,Digital Patient Care"
"H00017,Delhi Care Hospital 17,Madurai,Private,800.8190675017397,1298.0,42.0,yes,YES,Yes,Yes,4.2,4.9,4.6,68.0,85.0,59.0,4.6,Yes,AI Healthcare"
"H00018,Bengaluru Care Hospital 18,Pune,Government,1210.0,1128.0,22.0,Yes,NO,No,Yes,2.8,4.3,3.2,52.0,174.0,85.0,4.6,yes,Digital Patient Care"
"H00019,Madurai Care Hospital 19,Delhi,Multispeciality,693.0,1254.0,52.0,YES,No,Yes,No,3.9,2.5,4.8,67.0,36.0,99.0,2.1,Yes,Green Hospital"
"H00020,Madurai Care Hospital 20,Hyderabad,Specialty,1162.0,1128.0,75.0,Yes,Yes,Yes,Yes,2.2,4.3,2.8,97.0,20.0,75.0,3.6,No,Enhanced Security"
"H00021,Mumbai Care Hospital 21,Jaipur,Private,870.0,134.0,28.0,YES,Yes,Yes,Yes,2.5,3.1,3.1,35.0,12.0,98.0,3.5,yes,Contactless Healthcare"
"H00022,Coimbatore Care Hospital 22,Madurai,Private,1361.0,2130.0,99.0,yes,No,No,No,4.9,2.2,3.1,87.0,203.0,70.0,3.2,yes,Patient-Centric Care"
"H00023,Delhi Care Hospital 23,Pune,Government,485.0,318.0,120.0,YES,YES,No,No,5.0,4.0,4.3,38.0,181.0,84.0,2.7,Yes,Contactless Healthcare"
"H00024,Kochi Care Hospital 24,Chennai,Government,912.0,849.0,61.0,No,Yes,No,No,3.8,5.0,3.5,63.0,92.0,75.0,3.1,yes,IoT Healthcare"
"H00025,Kochi Care Hospital 25,Hyderabad,Multispeciality,421.0,1537.0,123.0,YES,NO,Yes,Yes,3.0,4.1,3.0,95.0,128.0,89.0,3.8,Yes,Enhanced Security"
"H00026,Mumbai Care Hospital 26,Hyderabad,Private,1086.0,126.0,29.0,No,No,No,Yes,3.1,4.2,3.5,87.0,67.0,66.0,2.6,YES,Enhanced Security"
"H00027,Pune Care Hospital 27,Jaipur,Multispeciality,1020.0,1966.0,63.0,Yes,Yes,No,Yes,4.9,3.1,2.1,92.0,116.0,75.0,2.4,yes,Enhanced Security"
"H00028,Kochi Care Hospital 28,Mumbai,Specialty,224.0,1489.0,75.0,Yes,YES,No,No,4.5,3.8,2.4,73.0,106.0,67.0,3.5,No,Patient-Centric Care"
"H00029,Hyderabad Care Hospital 29,Kochi,Private,800.8190675017397,2100.0,75.0,No,NO,Yes,No,2.8,2.9,4.6,39.0,163.0,54.0,4.6,yes,Digital Patient Care"
"H00030,Pune Care Hospital 30,Mumbai,Specialty,1297.0,2026.0,43.0,YES,No,Yes,No,3.6,2.1,4.8,67.0,169.0,67.0,3.5,YES,Unknown"
"H00031,Delhi Care Hospital 31,Madurai,Multispeciality,945.0,525.0,105.0,Yes,No,No,No,4.2,4.4,2.7,35.0,46.0,95.0,4.3,No,Contactless Healthcare"
"H00032,Delhi Care Hospital 32,Pune,Private,827.0,804.0,27.0,yes,NO,Yes,No,2.6,3.4,3.1,77.0,71.0,65.0,2.4,No,Digital Patient Care"
"H00033,Coimbatore Care Hospital 33,Hyderabad,Specialty,628.0,1846.0,29.0,YES,NO,Yes,No,3.2,2.2,2.2,96.0,32.0,75.0,4.3,YES,Unknown"
"H00034,Hyderabad Care Hospital 34,Bengaluru,Specialty,1404.0,215.0,31.0,YES,Yes,Yes,Yes,3.7,2.8,4.1,67.0,198.0,65.0,4.8,No,Contactless Healthcare"
"H00035,Coimbatore Care Hospital 35,Bengaluru,Multispeciality,327.0,1113.0,39.0,No,YES,Yes,Yes,3.7,3.5,2.7,89.0,106.0,95.0,3.0,No,Green Hospital"
"H00036,Mumbai Care Hospital 36,Kochi,Multispeciality,800.8190675017397,1713.0,16.0,No,YES,Yes,No,3.4,2.2,3.5,72.0,86.0,87.0,4.4,YES,Contactless Healthcare"
"H00037,Pune Care Hospital 37,Mumbai,Multispeciality,800.8190675017397,1185.0,109.0,Yes,YES,No,Yes,4.7,4.9,3.2,41.0,36.0,64.0,2.3,Yes,Contactless Healthcare"
"H00038,Coimbatore Care Hospital 38,Pune,Specialty,1456.0,400.0,48.0,YES,Yes,Yes,Yes,2.3,3.5,2.9,54.0,207.0,56.0,4.6,No,Digital Patient Care"
"H00039,Coimbatore Care Hospital 39,Kochi,Specialty,800.8190675017397,210.0,46.0,Yes,NO,No,No,2.8,2.4,3.3,67.0,95.0,100.0,2.2,No,Green Hospital"
"H00040,Chennai Care Hospital 40,Madurai,Multispeciality,800.8190675017397,1086.0,107.0,Yes,NO,Yes,Yes,4.5,2.4,3.7,45.0,21.0,90.0,5.0,No,Enhanced Security"
"H00041,Bengaluru Care Hospital 41,Coimbatore,Multispeciality,1293.0,1128.0,117.0,Yes,No,Yes,No,4.6,3.2,4.9,66.0,116.0,86.0,3.3,No,Unknown"
"H00042,Chennai Care Hospital 42,Hyderabad,Private,310.0,248.0,75.0,yes,NO,Yes,Yes,3.1,4.7,4.7,37.0,130.0,65.0,4.4,YES,Digital Patient Care"
"H00043,Jaipur Care Hospital 43,Bengaluru,Specialty,1470.0,1516.0,25.0,Yes,No,Yes,Yes,3.1,3.2,3.5,83.0,114.0,69.0,4.1,No,AI Healthcare"
"H00044,Bengaluru Care Hospital 44,Delhi,Multispeciality,1275.0,745.0,50.0,YES,YES,No,Yes,4.4,2.1,2.4,34.0,46.0,75.0,4.5,No,Smart Hospital"
"H00045,Pune Care Hospital 45,Jaipur,Specialty,377.0,1128.0,11.0,Yes,NO,No,No,2.7,2.9,4.9,42.0,116.0,100.0,3.3,No,Enhanced Security"
"H00046,Bengaluru Care Hospital 46,Pune,Government,199.0,1675.0,33.0,YES,YES,Yes,Yes,4.1,2.3,3.9,65.0,46.0,67.0,2.3,No,Unknown"
"H00047,Hyderabad Care Hospital 47,Jaipur,Specialty,1419.0,252.0,135.0,YES,NO,No,Yes,3.9,4.5,3.5,66.0,116.0,82.0,4.9,No,IoT Healthcare"
"H00048,Jaipur Care Hospital 48,Delhi,Specialty,946.0,485.0,37.0,YES,YES,No,Yes,4.8,2.5,4.6,60.0,111.0,92.0,3.3,No,Contactless Healthcare"
"H00049,Kochi Care Hospital 49,Chennai,Government,814.0,1128.0,82.0,yes,YES,No,Yes,3.8,2.4,3.7,88.0,36.0,66.0,3.3,Yes,Enhanced Security"
"H00050,Bengaluru Care Hospital 50,Madurai,Private,1322.0,1514.0,76.0,No,Yes,No,Yes,4.1,2.2,3.5,94.0,214.0,56.0,2.1,yes,AI Healthcare"
"H00051,Bengaluru Care Hospital 51,Pune,Specialty,159.0,1128.0,22.0,YES,No,No,No,3.3,3.5,3.5,86.0,55.0,87.0,4.7,No,AI Healthcare"
"H00052,Kochi Care Hospital 52,Bengaluru,Specialty,218.0,1677.0,23.0,yes,YES,No,Yes,4.7,2.3,2.7,49.0,210.0,95.0,4.5,Yes,Enhanced Security"
"H00053,Bengaluru Care Hospital 53,Kochi,Government,561.0,442.0,121.0,yes,NO,Yes,No,3.4,3.4,2.7,99.0,51.0,57.0,2.5,No,Contactless Healthcare"
"H00054,Madurai Care Hospital 54,Bengaluru,Government,1188.0,70.0,40.0,No,YES,Yes,Yes,4.3,2.9,2.1,76.0,53.0,54.0,4.7,yes,Contactless Healthcare"
"H00055,Jaipur Care Hospital 55,Mumbai,Government,1025.0,1803.0,121.0,yes,NO,Yes,No,2.7,3.5,3.9,74.0,116.0,75.0,4.5,No,Enhanced Security"
"H00056,Mumbai Care Hospital 56,Pune,Private,335.0,1583.0,14.0,YES,NO,Yes,No,4.8,3.5,2.9,34.0,108.0,84.0,4.2,YES,Digital Patient Care"
"H00057,Kochi Care Hospital 57,Mumbai,Specialty,602.0,394.0,66.0,YES,No,Yes,Yes,4.0,2.6,2.6,98.0,127.0,95.0,4.4,yes,Unknown"
"H00058,Mumbai Care Hospital 58,Bengaluru,Private,800.8190675017397,257.0,69.0,YES,NO,No,Yes,4.4,3.1,3.8,97.0,193.0,71.0,2.1,No,Contactless Healthcare"
"H00059,Delhi Care Hospital 59,Mumbai,Government,345.0,1568.0,75.0,Yes,Yes,No,No,4.4,2.4,3.7,43.0,23.0,88.0,3.6,yes,Unknown"
"H00060,Hyderabad Care Hospital 60,Mumbai,Private,465.0,2191.0,75.0,yes,NO,No,Yes,4.9,5.0,2.7,33.0,175.0,63.0,3.4,Yes,Patient-Centric Care"
"H00061,Delhi Care Hospital 61,Jaipur,Government,646.0,1950.0,43.0,No,Yes,No,Yes,2.9,3.3,3.4,76.0,88.0,64.0,4.7,Yes,Contactless Healthcare"
"H00062,Delhi Care Hospital 62,Pune,Multispeciality,713.0,812.0,30.0,Yes,No,No,Yes,2.8,3.5,3.8,89.0,105.0,94.0,4.6,YES,Patient-Centric Care"
"H00063,Chennai Care Hospital 63,Coimbatore,Private,1053.0,1014.0,126.0,YES,NO,No,Yes,5.0,3.0,4.2,80.0,192.0,94.0,4.4,No,Smart Hospital"
"H00064,Pune Care Hospital 64,Pune,Government,1075.0,1128.0,128.0,YES,YES,No,No,4.7,2.6,3.6,61.0,116.0,56.0,2.4,yes,Enhanced Security"
"H00065,Hyderabad Care Hospital 65,Hyderabad,Multispeciality,1235.0,661.0,75.0,yes,No,No,Yes,4.3,4.7,4.9,71.0,147.0,98.0,3.5,yes,IoT Healthcare"
"H00066,Pune Care Hospital 66,Hyderabad,Government,662.0,1446.0,26.0,No,NO,Yes,Yes,2.1,3.5,2.5,30.0,5.0,52.0,3.5,No,Contactless Healthcare"
"H00067,Delhi Care Hospital 67,Coimbatore,Government,728.0,1245.0,19.0,No,No,Yes,No,4.5,3.0,4.2,74.0,198.0,99.0,4.0,No,Patient-Centric Care"
"H00068,Delhi Care Hospital 68,Kochi,Private,743.0,168.0,62.0,yes,No,Yes,Yes,3.0,3.5,4.4,62.0,220.0,84.0,3.3,YES,Green Hospital"
"H00069,Pune Care Hospital 69,Delhi,Private,141.0,624.0,13.0,No,Yes,Yes,No,2.2,4.3,4.9,45.0,116.0,87.0,2.9,No,Contactless Healthcare"
"H00070,Chennai Care Hospital 70,Mumbai,Specialty,1056.0,1892.0,99.0,YES,No,Yes,Yes,3.4,3.5,3.3,79.0,102.0,69.0,3.6,No,Digital Patient Care"
"H00071,Madurai Care Hospital 71,Madurai,Multispeciality,313.0,1703.0,77.0,YES,YES,Yes,Yes,2.1,4.3,4.1,99.0,214.0,85.0,3.9,yes,Enhanced Security"
"H00072,Kochi Care Hospital 72,Mumbai,Private,1222.0,2115.0,74.0,Yes,NO,No,Yes,2.9,3.6,3.6,88.0,116.0,75.0,4.4,yes,Enhanced Security"
"H00073,Delhi Care Hospital 73,Madurai,Government,665.0,70.0,22.0,yes,YES,No,Yes,2.5,4.0,2.4,56.0,96.0,59.0,4.4,YES,Smart Hospital"
"H00074,Bengaluru Care Hospital 74,Pune,Private,759.0,133.0,63.0,No,YES,No,Yes,2.5,4.1,4.0,79.0,215.0,51.0,4.6,No,Green Hospital"
"H00075,Delhi Care Hospital 75,Delhi,Government,1315.0,510.0,82.0,YES,YES,No,No,3.9,2.1,3.3,100.0,132.0,90.0,4.0,No,Green Hospital"
"H00076,Chennai Care Hospital 76,Bengaluru,Private,709.0,70.0,124.0,yes,NO,No,Yes,2.1,3.5,3.6,62.0,116.0,85.0,4.7,yes,IoT Healthcare"
"H00077,Chennai Care Hospital 77,Hyderabad,Government,349.0,944.0,9.0,Yes,Yes,No,No,2.6,4.0,3.6,79.0,81.0,50.0,4.7,yes,IoT Healthcare"
