Hospital_ID,Hospital_Name,City,Hospital_Type,Beds,Daily_Patients,Avg_Wait_Time_Min,Contactless_Registration,Online_Appointment,Telemedicine,Digital_Health_Records,Cleanliness_Rating,Food_Service_Rating,Patient_Hospitality_Rating,CCTV_Coverage_Percentage,Security_Staff,Infection_Control_Score,Patient_Satisfaction,AI_Assisted_Services,Overall_Trend
H00001,Bengaluru Care Hospital 1,Pune,Government,958,90,120,yes,NO,No,No,,4.6,3.6,,101,82,2.4,,
H00002,Jaipur Care Hospital 2,,Government,1118,1870,90,yes,YES,No,No,3.5,3.1,3.3,72,95,,2.4,No,Digital Patient Care
H00003,Pune Care Hospital 3,,Multispeciality,310,1365,115,yes,No,,No,2.5,3.1,3.7,,106,83,4.1,YES,
H00004,Hyderabad Care Hospital 4,Coimbatore,Private,904,1570,30,Yes,YES,No,No,2.3,2.7,3.2,47,137,62,4.3,No,Digital Patient Care
H00005,Pune Care Hospital 5,Bengaluru,Specialty,578,571,149,Yes,No,Yes,Yes,4.3,,3.8,71,72,86,4.5,yes,Digital Patient Care
H00006,Chennai Care Hospital 6,Madurai,Private,1458,710,150,Yes,No,No,No,4.9,2.8,2.1,64,24,51,2,No,Smart Hospital
H00007,Pune Care Hospital 7,Chennai,Specialty,200,1738,41,No,Yes,No,Yes,,4.4,2.1,31,139,75,2.7,yes,Smart Hospital
H00008,Mumbai Care Hospital 8,Coimbatore,Specialty,,775,64,Yes,YES,No,No,,4.9,,86,196,62,2.8,YES,Enhanced Security
H00009,Bengaluru Care Hospital 9,Kochi,,885,1991,,YES,YES,Yes,,3.2,3.3,3.5,30,74,,2.3,No,IoT Healthcare
H00010,Delhi Care Hospital 10,,Government,1494,170,52,YES,YES,Yes,No,3,2.2,3.9,86,118,77,3.1,No,Patient-Centric Care
H00011,Hyderabad Care Hospital 11,Pune,Private,965,648,51,Yes,NO,No,Yes,4.8,4.2,3.5,63,179,80,3.3,YES,Patient-Centric Care
H00012,Delhi Care Hospital 12,Hyderabad,Private,554,158,71,yes,,Yes,,2.5,2,4.9,82,150,79,4.9,Yes,Smart Hospital
H00013,Bengaluru Care Hospital 13,Pune,Multispeciality,591,1802,148,yes,,,Yes,2.8,4,,33,200,,3.8,Yes,AI Healthcare
H00014,Kochi Care Hospital 14,Chennai,Government,,1350,74,Yes,Yes,Yes,,2.1,3.8,3.9,75,162,81,4.9,yes,Digital Patient Care
H00015,Pune Care Hospital 15,Jaipur,Multispeciality,131,769,140,YES,YES,Yes,Yes,2.4,2.9,4.6,56,129,94,,Yes,
H00016,Madurai Care Hospital 16,Mumbai,Private,937,1204,62,Yes,NO,Yes,No,,3.1,3.5,,,68,4.8,YES,Digital Patient Care
H00017,Delhi Care Hospital 17,Madurai,,,1298,42,yes,YES,Yes,Yes,4.2,4.9,4.6,68,85,59,4.6,Yes,AI Healthcare
H00018,Bengaluru Care Hospital 18,Pune,Government,1210,,22,Yes,NO,No,,2.8,4.3,3.2,52,174,85,4.6,yes,Digital Patient Care
H00019,Madurai Care Hospital 19,Delhi,Multispeciality,693,1254,52,,No,Yes,No,3.9,2.5,4.8,67,36,99,2.1,Yes,Green Hospital
H00020,Madurai Care Hospital 20,Hyderabad,Specialty,1162,,,Yes,Yes,,,2.2,4.3,2.8,97,20,,3.6,,Enhanced Security
H00021,Mumbai Care Hospital 21,Jaipur,Private,870,134,28,YES,Yes,Yes,,2.5,3.1,3.1,35,12,98,,yes,Contactless Healthcare
H00022,Coimbatore Care Hospital 22,Madurai,,1361,2130,99,yes,No,No,No,4.9,2.2,3.1,87,203,70,3.2,yes,Patient-Centric Care
H00023,Delhi Care Hospital 23,Pune,Government,485,318,120,YES,YES,No,No,5,4,4.3,38,181,84,2.7,Yes,Contactless Healthcare
H00024,Kochi Care Hospital 24,Chennai,Government,912,849,61,No,Yes,No,No,3.8,5,3.5,63,92,,3.1,yes,IoT Healthcare
H00025,Kochi Care Hospital 25,Hyderabad,Multispeciality,421,1537,123,YES,NO,Yes,Yes,3,4.1,3,95,128,89,3.8,Yes,Enhanced Security
H00026,Mumbai Care Hospital 26,,Private,1086,126,29,No,No,No,Yes,3.1,4.2,,87,67,66,2.6,YES,Enhanced Security
H00027,Pune Care Hospital 27,Jaipur,Multispeciality,1020,1966,63,Yes,Yes,No,,4.9,3.1,2.1,92,,,2.4,yes,Enhanced Security
H00028,Kochi Care Hospital 28,Mumbai,Specialty,224,1489,,Yes,YES,No,No,4.5,3.8,2.4,73,106,67,,No,Patient-Centric Care
H00029,Hyderabad Care Hospital 29,Kochi,Private,,2100,,No,NO,Yes,No,2.8,2.9,4.6,39,163,54,4.6,yes,Digital Patient Care
H00030,Pune Care Hospital 30,Mumbai,Specialty,1297,2026,43,,No,Yes,No,3.6,2.1,4.8,67,169,67,,YES,
H00031,Delhi Care Hospital 31,Madurai,Multispeciality,945,525,105,Yes,No,No,No,4.2,4.4,2.7,35,46,95,4.3,No,Contactless Healthcare
H00032,Delhi Care Hospital 32,Pune,Private,827,804,27,yes,NO,Yes,No,2.6,3.4,3.1,77,71,65,2.4,No,Digital Patient Care
H00033,Coimbatore Care Hospital 33,,Specialty,628,1846,29,YES,NO,Yes,No,3.2,2.2,2.2,96,32,,4.3,YES,
H00034,Hyderabad Care Hospital 34,Bengaluru,Specialty,1404,215,31,YES,Yes,Yes,Yes,3.7,2.8,4.1,,198,65,4.8,No,Contactless Healthcare
H00035,Coimbatore Care Hospital 35,Bengaluru,Multispeciality,327,1113,39,No,YES,Yes,Yes,3.7,,2.7,89,106,95,3,No,Green Hospital
H00036,Mumbai Care Hospital 36,Kochi,,,1713,16,No,YES,Yes,No,3.4,2.2,,72,86,87,4.4,YES,Contactless Healthcare
H00037,Pune Care Hospital 37,Mumbai,,,1185,109,Yes,YES,No,Yes,4.7,4.9,3.2,41,36,64,2.3,Yes,Contactless Healthcare
