Order_ID,Order_Date,Ship_Date,Customer_ID,Gender,Age,Region,Category,Freight_Mode,Quantity,Unit_Price,Discount_Pct,Original_Amount,Sales,COGS,Freight_Cost,Profit,Profit_Margin_Pct,Delivery_Days,Year,Month,Month_Name,Age_Group,Low_Margin
1,2023-11-24,2023-11-25,CUST001,Male,34,East,Beauty,Priority,3,50,,150,112.5,54.0,75.2,-16.7,-14.84,5,2023,11,Nov,26-35,True
2,2023-02-27,2023-03-01,CUST002,Female,26,West,Clothing,Express,2,500,0.0,1000,1000.0,550.0,79.76,370.24,37.02,1,2023,2,Feb,26-35,False
3,2023-01-13,2023-01-14,CUST003,Male,50,North,Electronics,Standard,1,30,15.0,30,25.5,15.81,23.41,-13.72,-53.8,10,2023,1,Jan,46-55,True
4,2023-05-21,2023-05-23,CUST004,Male,37,East,Clothing,Priority,1,500,5.0,500,475.0,261.25,24.74,189.01,39.79,5,2023,5,May,36-45,False
5,2023-05-06,2023-05-08,CUST005,Male,30,East,Beauty,Priority,2,50,10.0,100,90.0,43.2,50.69,-3.89,-4.32,4,2023,5,May,26-35,True
6,2023-04-25,2023-04-27,CUST006,Female,45,West,Beauty,Standard,1,30,10.0,30,27.0,12.96,20.91,-6.87,-25.44,8,2023,4,Apr,36-45,True
7,2023-03-13,2023-03-14,CUST007,Male,46,North,Clothing,Economy,2,25,0.0,50,50.0,27.5,14.1,8.4,16.8,9,2023,3,Mar,46-55,True
9,2023-12-13,2023-12-14,CUST009,Male,63,East,Electronics,Economy,2,300,5.0,600,570.0,353.4,7.18,209.42,36.74,10,2023,12,Dec,56-64,False
10,2023-10-07,2023-10-09,CUST010,Female,52,South,Clothing,Priority,4,50,10.0,200,180.0,99.0,124.66,-43.66,-24.26,5,2023,10,Oct,46-55,True
11,2023-02-14,2023-02-15,CUST011,Male,23,East,Clothing,Priority,2,50,0.0,100,100.0,55.0,37.82,7.18,7.18,4,2023,2,Feb,18-25,True
